time,value
4.92,0.00244778
4.93,0.00244427
4.94,0.00244078
4.95,0.00243728
4.96,0.00243379
4.97,0.00243031
4.98,0.00242683
4.99,0.00242336
5,0.00241989
5.01,0.00241643
5.02,0.00241297
5.03,0.00240952
5.04,0.00240607
5.05,0.00240262
5.06,0.00239919
5.07,0.00239575
5.08,0.00239232
5.09,0.0023889
5.1,0.00238548
5.11,0.00238207
5.12,0.00237866
5.13,0.00237525
5.14,0.00237185
5.15,0.00236846
5.16,0.00236507
5.17,0.00236168
5.18,0.0023583
5.19,0.00235493
5.2,0.00235156
5.21,0.00234819
5.22,0.00234483
5.23,0.00234148
5.24,0.00233812
5.25,0.00233478
5.26,0.00233144
5.27,0.0023281
5.28,0.00232477
5.29,0.00232144
5.3,0.00231812
5.31,0.0023148
5.32,0.00231149
5.33,0.00230818
5.34,0.00230488
5.35,0.00230158
5.36,0.00229828
5.37,0.00229499
5.38,0.00229171
5.39,0.00228843
5.4,0.00228515
5.41,0.00228188
5.42,0.00227862
5.43,0.00227536
5.44,0.0022721
5.45,0.00226885
5.46,0.0022656
5.47,0.00226236
5.48,0.00225912
5.49,0.00225589
5.5,0.00225266
5.51,0.00224943
5.52,0.00224622
5.53,0.002243
5.54,0.00223979
5.55,0.00223658
5.56,0.00223338
5.57,0.00223019
5.58,0.002227
5.59,0.00222381
5.6,0.00222063
5.61,0.00221745
5.62,0.00221427
5.63,0.0022111
5.64,0.00220794
5.65,0.00220478
5.66,0.00220162
5.67,0.00219847
5.68,0.00219533
5.69,0.00219219
5.7,0.00218905
5.71,0.00218591
5.72,0.00218279
5.73,0.00217966
5.74,0.00217654
5.75,0.00217343
5.76,0.00217032
5.77,0.00216721
5.78,0.00216411
5.79,0.00216101
5.8,0.00215792
5.81,0.00215483
5.82,0.00215175
5.83,0.00214867
5.84,0.00214559
5.85,0.00214252
5.86,0.00213945
5.87,0.00213639
5.88,0.00213334
5.89,0.00213028
5.9,0.00212723
5.91,0.00212419
5.92,0.00212115
5.93,0.00211811
5.94,0.00211508
5.95,0.00211205
5.96,0.00210903
5.97,0.00210601
5.98,0.002103
5.99,0.00209999
6,0.00209698
6.01,0.00209398
6.02,0.00209099
6.03,0.00208799
6.04,0.002085
6.05,0.00208202
6.06,0.00207904
6.07,0.00207606
6.08,0.00207309
6.09,0.00207013
6.1,0.00206716
6.11,0.00206421
6.12,0.00206125
6.13,0.0020583
6.14,0.00205536
6.15,0.00205241
6.16,0.00204948
6.17,0.00204654
6.18,0.00204361
6.19,0.00204069
6.2,0.00203777
6.21,0.00203485
6.22,0.00203194
6.23,0.00202903
6.24,0.00202613
6.25,0.00202323
6.26,0.00202033
6.27,0.00201744
6.28,0.00201455
6.29,0.00201167
6.3,0.00200879
6.31,0.00200592
6.32,0.00200304
6.33,0.00200018
6.34,0.00199732
6.35,0.00199446
6.36,0.0019916
6.37,0.00198875
6.38,0.00198591
6.39,0.00198306
6.4,0.00198023
6.41,0.00197739
6.42,0.00197456
6.43,0.00197174
6.44,0.00196891
6.45,0.0019661
6.46,0.00196328
6.47,0.00196047
6.48,0.00195767
